2026-06-07 19:44:29 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 12.67ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:29 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 13.82ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:29 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 12.82ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:29 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 15.04ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:29 | INFO     | access | ❡ GET /dashboard | Status: 200 | Duration: 17.18ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:29 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 13.94ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ GET /audit | Status: 200 | Duration: 22.59ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 23.44ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ GET /incidents | Status: 200 | Duration: 3.10ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 13.29ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 13.77ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 13.68ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 24.21ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 21.23ms | IP: 127.0.0.1 | User: anonymous
2026-06-07 19:44:30 | INFO     | access | ❡ POST /analyze | Status: 200 | Duration: 25.30ms | IP: 127.0.0.1 | User: anonymous
